npa,country,region,state,timezone,status
546,001,General Purpose Code,NANP AREA,,reserved
547,001,General Purpose Code,NANP AREA,,reserved
548,CA,General Purpose Code | Overlay 226/382/519/548,ONTARIO,E,active
549,001,General Purpose Code,NANP AREA,,reserved
550,001,General Purpose Code,NANP AREA,,reserved
551,US,General Purpose Code | Overlay 201/551,NJ,E,active
552,001,General Purpose Code,NANP AREA,,reserved
553,001,General Purpose Code,NANP AREA,,reserved
554,001,General Purpose Code,NANP AREA,,reserved
555,001,Easily Recognizable Code,,,unavailable
556,001,General Purpose Code,NANP AREA,,reserved
557,US,General Purpose Code | Overlay 314/557,MO,C,active
558,001,General Purpose Code,NANP AREA,,reserved
559,US,General Purpose Code | Overlay 357/559,CA,P,active
560,001,General Purpose Code,,,available
561,US,General Purpose Code | Overlay 561/728,FL,E,active
562,US,General Purpose Code,CA,P,active
563,US,General Purpose Code,IA,C,active
564,US,"General Purpose Code | Overlay 206/564, 360/564",WA,P,active
565,US,General Purpose Code | Overlay 565/912,GA,E,assigned
566,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
567,US,General Purpose Code | Overlay 419/567,OH,E,active
568,CA,General Purpose Code,,,reserved
569,001,General Purpose Code,NANP AREA,,reserved
570,US,General Purpose Code | Overlay 272/570,PA,E,active
571,US,General Purpose Code | Overlay 571/703,VA,E,active
572,US,General Purpose Code | Overlay 405/572,OK,C,active
573,US,General Purpose Code | Overlay 235/573,MO,C,active
574,US,General Purpose Code,IN,EC,active
575,US,General Purpose Code,NM,M,active
576,001,General Purpose Code,,,available
577,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
578,001,General Purpose Code,NANP AREA,,reserved
579,CA,General Purpose Code | Overlay 354/450/579,QUEBEC,E,active
580,US,General Purpose Code,OK,C,active
581,CA,General Purpose Code | Overlay 367/418/581,QUEBEC,E,active
582,US,General Purpose Code | Overlay 582/814,PA,E,active
583,001,General Purpose Code,,,reserved
584,CA,General Purpose Code | Overlay 204/431/584,MANITOBA,C,active
585,US,General Purpose Code,NY,E,active
586,US,General Purpose Code,MI,E,active
587,CA,General Purpose Code | Overlay 368/403/587/780/825,ALBERTA,M,active
588,US,Easily Recognizable Code | Overlay 500/533/544/566/577/588/521/522/523/524/525/526/527/528/529/532/538/542,NANP AREA,E,active
589,001,General Purpose Code,NANP AREA,,reserved
590,001,General Purpose Code,,,reserved
591,001,General Purpose Code,,,reserved
592,001,General Purpose Code,,,reserved
593,001,General Purpose Code,,,reserved
594,001,General Purpose Code,,,reserved
595,001,General Purpose Code,,,reserved
596,001,General Purpose Code,,,reserved
597,001,General Purpose Code,,,reserved
598,001,General Purpose Code,,,reserved
599,001,Easily Recognizable Code,,,reserved
600,CA,Easily Recognizable Code,,E,active
601,US,General Purpose Code | Overlay 601/769,MS,C,active
602,US,General Purpose Code | Overlay 480/602/623,AZ,M,active
603,US,General Purpose Code,NH,E,active
604,CA,General Purpose Code | Overlay 236/257/604/672/778,BRITISH COLUMBIA,P,active
605,US,General Purpose Code,SD,CM,active
606,US,General Purpose Code,KY,EC,active
607,US,General Purpose Code,NY,E,active
608,US,General Purpose Code | Overlay 353/608,WI,C,active
609,US,General Purpose Code | Overlay 609/640,NJ,E,active
610,US,General Purpose Code | Overlay 484/610/835,PA,E,active
611,001,Easily Recognizable Code,,,unavailable
612,US,General Purpose Code,MN,C,active
613,CA,General Purpose Code | Overlay 343/613/753,ONTARIO,E,active
614,US,General Purpose Code | Overlay 380/614,OH,E,active
615,US,General Purpose Code | Overlay 615/629,TN,C,active
616,US,General Purpose Code,MI,E,active
617,US,General Purpose Code | Overlay 617/857,MA,E,active
618,US,General Purpose Code | Overlay 618/730,IL,C,active
619,US,General Purpose Code | Overlay 619/858,CA,P,active
620,US,General Purpose Code,KS,CM,active
621,US,General Purpose Code | Overlay 281/346/621/713/832,TX,C,active
622,CA,Easily Recognizable Code | Overlay 622/633,,E,active
623,US,General Purpose Code | Overlay 480/602/623,AZ,M,active
624,US,General Purpose Code | Overlay 624/716,NY,E,active
625,001,General Purpose Code,,,reserved
626,US,General Purpose Code,CA,P,active
627,001,General Purpose Code,,,reserved
628,US,General Purpose Code | Overlay 415/628,CA,P,active
629,US,General Purpose Code | Overlay 615/629,TN,C,active
630,US,General Purpose Code | Overlay 331/630,IL,C,active
631,US,General Purpose Code | Overlay 631/934,NY,E,active
632,001,General Purpose Code,,,available
633,CA,Easily Recognizable Code | Overlay 622/633,,E,active
634,001,General Purpose Code,,,reserved
635,001,General Purpose Code,,,available
636,US,General Purpose Code,MO,C,active
637,001,General Purpose Code,,,available
638,001,General Purpose Code,,,available
639,CA,General Purpose Code | Overlay 306/474/639,SASKATCHEWAN,C,active
640,US,General Purpose Code | Overlay 609/640,NJ,E,active
641,US,General Purpose Code,IA,C,active
642,001,General Purpose Code,,,available
643,001,General Purpose Code,,,available
644,001,Easily Recognizable Code,,,reserved
645,US,General Purpose Code | Overlay 305/645/786,FL,E,active
646,US,General Purpose Code | Overlay 212/332/646/917,NY,E,active
647,CA,General Purpose Code | Overlay 416/437/647,ONTARIO,E,active
648,001,General Purpose Code,,,available
649,TC,General Purpose Code,TURKS & CAICOS ISLANDS,E,active
650,US,General Purpose Code,CA,P,active
651,US,General Purpose Code,MN,C,active
652,001,General Purpose Code,,,available
653,001,General Purpose Code,,,available
654,001,General Purpose Code,,,available
